college_id,type,name,total_seats,fee_monthly,amenities,is_on_campus,distance_km
1,Boys,Hostel 1–18,6500,3500,"Wi-Fi,Laundry,Mess,Gym,Common Room,Canteen",true,
1,Girls,"Hostel Gulmohar, Jasmine, Tulip",1200,3500,"Wi-Fi,Laundry,Mess,Gym,Common Room",true,
2,Boys,"Zanskar, Jwalamukhi, etc.",5800,3200,"Wi-Fi,Mess,Gym,Laundry,Common Room",true,
2,Girls,"Kailash, Himadri, Aravali",1500,3200,"Wi-Fi,Mess,Gym,Laundry,Common Room",true,
3,Mixed,Student Residences A-I,3800,2500,"Wi-Fi,Mess,Gym,Common Room,Laundry",true,
4,Boys,10 Boys Hostels,4000,8000,"Wi-Fi,Mess,Gym,AC Rooms (Optional),Common Room",true,
4,Girls,4 Girls Hostels,1800,8000,"Wi-Fi,Mess,Gym,Common Room",true,
5,Boys,8 Boys Hostels,4500,2500,"Wi-Fi,Mess,Gym,Common Room",true,
5,Girls,4 Girls Hostels,2000,2500,"Wi-Fi,Mess,Gym,Common Room",true,
6,Boys,15 Boys Hostels,12000,6000,"AC Available,Wi-Fi,Mess,Gym,Common Room,Laundry",true,
6,Girls,8 Girls Hostels,6500,6000,"AC Available,Wi-Fi,Mess,Gym,Common Room",true,
7,Boys,Boys Hostel Complex,1200,2000,"Mess,Wi-Fi,Gym,Common Room,Medical Facility",true,
7,Girls,Girls Hostel,600,2000,"Mess,Wi-Fi,Gym,Common Room",true,
8,Mixed,Student Dormitories,900,12000,"AC,Wi-Fi,Mess,Gym,Common Room,Study Lounge",true,
